Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5210901;Itapaci;Ceres;GO;Centro-Oeste;956,13;23421;7838;342750,82;0,73;3497,92;27416805,32;10843;0,63;0,84
5211008;Itapirapuã;Rio Vermelho;GO;Centro-Oeste;2043,71;4685;1729;143055,45;0,68;2845,27;4920152,26;3548;0,57;0,82
5211206;Itapuranga;Ceres;GO;Centro-Oeste;1276,48;25681;9368;422456,22;0,73;3102,31;29063049,83;12653;0,65;0,84
5211305;Itarumã;Quirinópolis;GO;Centro-Oeste;3433,63;7259;2472;245224,48;0,69;3991,52;9869620,53;3546;0,50;0,86
5211404;Itauçu;Anápolis;GO;Centro-Oeste;383,84;8960;3154;142457,60;0,72;3287,08;10369891,73;4473;0,64;0,83
5211503;Itumbiara;Meia Ponte;GO;Centro-Oeste;2462,93;105809;36502;4187512,28;0,75;4086,40;149165759,98;80473;0,68;0,84
5211602;Ivolândia;Iporá;GO;Centro-Oeste;1257,66;2334;900;84886,43;0,70;2735,92;2464113,79;1294;0,62;0,83
5211701;Jandaia;Vale do Rio dos Bois;GO;Centro-Oeste;864,11;6025;2279;245069,15;0,71;3164,36;7211895,07;4861;0,63;0,82
5211800;Jaraguá;Anápolis;GO;Centro-Oeste;1849,55;51338;16625;705087,51;0,70;3381,98;56226551,47;20968;0,59;0,84
5211909;Jataí;Sudoeste de Goiás;GO;Centro-Oeste;7174,23;102065;33467;4599881,39;0,76;4488,41;150215949,63;65535;0,66;0,86
5212006;Jaupaci;Iporá;GO;Centro-Oeste;527,10;2860;1044;49282,58;0,69;2707,35;2827280,81;1450;0,60;0,82
5212055;Jesúpolis;Anápolis;GO;Centro-Oeste;122,48;2506;843;29114,36;0,65;2710,37;2286000,01;1030;0,52;0,81
5212105;Joviânia;Meia Ponte;GO;Centro-Oeste;445,49;7402;2612;210209,58;0,71;3529,31;9219945,50;3205;0,60;0,83
5212204;Jussara;Rio Vermelho;GO;Centro-Oeste;4084,11;18371;6429;445322,24;0,74;3401,74;21870660,70;10623;0,64;0,84
5212253;Lagoa Santa;Quirinópolis;GO;Centro-Oeste;458,87;1621;582;39391,54;0,74;3456,49;2013706,06;958;0,64;0,87
5212303;Leopoldo de Bulhões;Goiânia;GO;Centro-Oeste;480,89;7651;2576;225523,27;0,66;2958,58;7622081,57;5450;0,53;0,81
5212501;Luziânia;Entorno de Brasília;GO;Centro-Oeste;3961,12;211508;63020;3578084,58;0,70;3572,02;225111669,00;76814;0,60;0,83
5212600;Mairipotaba;Meia Ponte;GO;Centro-Oeste;467,43;2363;880;50284,20;0,75;2943,71;2592183,13;1192;0,65;0,85
5212709;Mambaí;Vão do Paranã;GO;Centro-Oeste;880,62;9081;2641;81436,82;0,63;2306,85;6094230,26;3037;0,49;0,82
5212808;Mara Rosa;Porangatu;GO;Centro-Oeste;1687,90;9363;3189;192491,97;0,69;3072,32;9798713,97;4224;0,58;0,84
5212907;Marzagão;Meia Ponte;GO;Centro-Oeste;222,43;2250;803;41951,19;0,70;3218,18;2584882,73;1121;0,60;0,82
5212956;Matrinchã;Rio Vermelho;GO;Centro-Oeste;1150,89;4336;1526;98059,01;0,68;2647,32;4042412,34;2248;0,57;0,84
5213004;Maurilândia;Sudoeste de Goiás;GO;Centro-Oeste;389,76;14327;4610;226101,99;0,68;3511,16;16189137,57;5129;0,55;0,82
5213053;Mimoso de Goiás;Entorno de Brasília;GO;Centro-Oeste;1386,91;2583;870;57223,56;0,67;2492,41;2168751,03;1363;0,54;0,83
